order,round,version,benchmark,seconds,output_ok,output
195,7,koka-keep,b2,0.212681,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
196,7,koka-keep,b4,0.566699,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
197,7,rust-best-std,b3,0.017264,True,first 1000000 | last 1 | weighted 166667166667000000
198,7,koka,b3,0.138368,True,first 1000000 | last 1 | weighted 166667166667000000
199,7,rust-best-mimalloc,b4,0.298779,True,first 37 | last 554962791 | sum-mod 491625299
200,7,koka-helper,b3,0.139777,True,first 1000000 | last 1 | weighted 166667166667000000
201,7,rust-same-std,b4,0.317287,True,first 37 | last 554962791 | sum-mod 491625299
202,7,rust-same-std,b3,0.067823,True,first 1000000 | last 1 | weighted 166667166667000000
203,7,rust-same-std,b2,0.278174,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
204,7,rust-same-mimalloc,b4,0.304472,True,first 37 | last 554962791 | sum-mod 491625299
205,7,koka-helper,b4,0.564608,True,first 37 | last 554962791 | sum-mod 491625299
206,7,rust-best-mimalloc,b3,0.017048,True,first 1000000 | last 1 | weighted 166667166667000000
207,7,koka-box,b2,0.214576,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
208,7,koka-helper,b1,0.13708,True,sum 500100500000 | first 101 | last 1000100
209,7,koka,b1,0.137099,True,sum 500100500000 | first 101 | last 1000100
210,7,koka-keep,b3,0.144391,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
211,7,rust-same-mimalloc,b3,0.130588,True,first 1000000 | last 1 | weighted 166667166667000000
212,7,rust-best-std,b4,0.292029,True,first 37 | last 554962791 | sum-mod 491625299
213,7,koka-box,b4,0.559985,True,first 37 | last 554962791 | sum-mod 491625299
214,7,koka-box,b1,0.137872,True,sum 500100500000 | first 101 | last 1000100
215,7,rust-best-mimalloc,b1,0.01608,True,sum 500100500000 | first 101 | last 1000100
216,7,rust-best-mimalloc,b2,0.083357,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
217,7,rust-same-mimalloc,b1,0.163129,True,sum 500100500000 | first 101 | last 1000100
218,7,koka-box,b3,0.138489,True,first 1000000 | last 1 | weighted 166667166667000000
219,7,koka-keep,b1,0.14157,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
220,7,koka,b4,0.55969,True,first 37 | last 554962791 | sum-mod 491625299
221,7,rust-best-std,b1,0.01595,True,sum 500100500000 | first 101 | last 1000100
