order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
142,10,helper,b4,0.3168513749988051,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
143,10,rust-same,b1,0.16369112499523908,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
144,10,koka,b1,0.13737766699341591,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
145,10,koka,b4,0.5656837499991525,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
146,10,rust-same,b2,0.2704443749971688,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
147,10,koka,b2,0.21593783300340874,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
148,10,helper,b1,0.17107837500225287,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
149,10,koka,share-b1,0.5127924170010374,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
150,10,helper,share-b1,0.6486674169937032,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
151,10,helper,b2,0.28993762499885634,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
152,10,rust-same,b3,0.13059908300056122,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
153,10,helper,b3,0.1552495420037303,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
154,10,rust-same,b4,0.30456429200421553,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
